,Zeitstempel,I use the following databases for my scientific illustrations:,Regarding BioIcons,Is it easy to use the current BioIcons website?,"If you know about BioIcons, have you ever submitted or thought about submitting illustrations using the webform or via PullRequest?",I use the following tools to draw scientific illustrations or to assemble icons from BioIcons in illustrations,Which proposed features do you think are most useful to you: [Extension of the icon catalog based on community requests],Which proposed features do you think are most useful to you: [Collaborative web editor],Which proposed features do you think are most useful to you: [Templating mechanism to share graphics created using BioIcons for others to reuse],Which proposed features do you think are most useful to you: [Workshops on illustration licensing and creating illustrations using BioIcons],Country,Position
278,03.02.2024 18:41:49,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Low priority,,PostDoc
279,20.02.2024 04:12:02,Freely available icons from Power point,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Nice to have,Nice to have,High priority,Denmark,PostDoc
280,06.03.2024 04:18:53,FreePik,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,High priority,,PhD student
281,06.03.2024 16:29:35,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Affinity Designer",High priority,Nice to have,Nice to have,Low priority,Germany,Professor
282,07.03.2024 17:03:03,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,High priority,Nice to have,Nice to have,High priority,Mexico,Academic Technician
283,11.03.2024 16:15:57,"BioIcons, BioRender, Open ClipArt, pixabay",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, BioRender WebEditor, Microsoft PowerPoint",High priority,Unnecessary,Nice to have,Nice to have,Germany,PostDoc
284,03.04.2024 05:34:29,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,High priority,Nice to have,Low priority,Nice to have,USA,permanent academic staff
285,04.04.2024 19:34:08,"BioIcons, Open ClipArt, Adobe Stock",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Adobe Illustrator, Microsoft PowerPoint",Nice to have,Low priority,Nice to have,Nice to have,USA,PostDoc
286,15.04.2024 21:02:10,"BioIcons, BioRender, Open ClipArt",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","BioRender WebEditor, Microsoft PowerPoint",High priority,Nice to have,High priority,High priority,,PhD student
287,16.04.2024 07:35:09,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Nice to have,High priority,Nice to have,Germany,PhD student
288,16.04.2024 10:10:47,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Adobe Illustrator, BioRender WebEditor",High priority,Low priority,Nice to have,Low priority,Germany,Undergraduate
289,16.04.2024 11:40:19,"BioIcons, BioRender, FreePik, Adobe Stock",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,High priority,High priority,Nice to have,Malaysia,permanent academic staff
290,16.04.2024 12:17:09,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Nice to have,Nice to have,Nice to have,UK,PhD student
291,16.04.2024 13:13:15,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Adobe Illustrator",High priority,Nice to have,Nice to have,Nice to have,UK,permanent academic staff
292,16.04.2024 20:21:13,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint, GIMP, Google Slides",High priority,Low priority,Nice to have,Low priority,USA,PostDoc
293,17.04.2024 12:20:05,"BioIcons, BioRender, MindTheGraph, Adobe Stock",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Adobe Illustrator, Microsoft PowerPoint",High priority,Nice to have,Nice to have,High priority,Ireland,PostDoc
294,17.04.2024 18:38:58,"BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Keynote",High priority,Nice to have,Low priority,Low priority,USA,PostDoc
295,18.04.2024 10:51:31,"BioIcons, flaticon",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,Nice to have,High priority,,,,PhD student
296,21.04.2024 17:35:13,"BioIcons, BioRender, Reactome",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,High priority,Low priority,Nice to have,Nice to have,Germany,PostDoc
297,24.04.2024 16:58:47,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,Nice to have,Nice to have,Unnecessary,Low priority,USA,PostDoc
298,26.04.2024 19:11:11,"BioIcons, Reactome, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Low priority,Spain,permanent academic staff
299,29.04.2024 14:10:31,"BioIcons, SciDraw, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Affinity designer",Nice to have,Nice to have,High priority,Nice to have,Germany,PostDoc
300,01.05.2024 12:40:49,"BioIcons, FreePik",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Nice to have,Nice to have,Low priority,UK,PostDoc
301,14.05.2024 17:58:10,"BioIcons, BioRender, SMART by Servier, Open ClipArt",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Microsoft PowerPoint",Nice to have,Low priority,Unnecessary,Nice to have,Portugal,PhD student
302,18.05.2024 11:16:30,"BioIcons, Wikimedia Commons, Creazilla",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Photoshop and Microsoft Visio,High priority,Nice to have,Nice to have,Nice to have,Portugal,PhD student
303,21.05.2024 15:05:36,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,Low priority,Low priority,Nice to have,,Industry
304,22.05.2024 06:24:47,"BioIcons, SciDraw",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Affinity designer 2,High priority,Unnecessary,Low priority,Low priority,USA,PostDoc
305,30.05.2024 19:03:49,"BioIcons, FreePik",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,Mexico,permanent academic staff
306,01.06.2024 23:41:01,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Keynote",High priority,Nice to have,Nice to have,Low priority,USA,PostDoc
307,10.06.2024 15:18:37,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Nice to have,High priority,,Germany,PhD student
308,10.06.2024 19:18:49,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,High priority,Unnecessary,High priority,Low priority,Mexico,PhD student
309,11.06.2024 09:35:22,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,High priority,Nice to have,Denmark,PhD student
310,17.06.2024 15:09:32,"BioIcons, MindTheGraph",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Nice to have,Nice to have,Nice to have,,PhD student
311,20.06.2024 16:26:52,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Nice to have,High priority,Low priority,Germany,Group Leader
312,03.07.2024 06:11:45,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, google slides",High priority,Nice to have,Nice to have,Nice to have,Mexico,Professor
313,14.07.2024 12:24:51,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",Nice to have,High priority,Nice to have,High priority,UK,PostDoc
314,20.07.2024 00:36:35,"BioRender, SciDraw, FreePik",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","BioRender WebEditor, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Nice to have,,
315,23.07.2024 18:10:09,"BioIcons, Reactome, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Nice to have,High priority,Low priority,India,PhD student
316,25.07.2024 13:27:12,"BioIcons, BioRender, SciDraw",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",High priority,Unnecessary,Unnecessary,Low priority,Belgium,PhD student
317,08.08.2024 10:03:11,"BioIcons, BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Nice to have,UK,permanent academic staff
318,15.08.2024 18:57:04,"BioIcons, Open ClipArt, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",High priority,Low priority,Nice to have,Nice to have,USA,PostDoc
319,16.08.2024 18:17:21,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,High priority,Nice to have,Nice to have,Nice to have,USA,Temporary academic staff
320,18.08.2024 09:12:48,BioRender,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
321,30.08.2024 14:49:24,"BioIcons, FreePik, Draw.io",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Affinity Design,,,,,,PhD student
322,31.08.2024 12:42:38,Adobe Stock,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,High priority,Nice to have,Nice to have,High priority,Japan,permanent academic staff
323,06.09.2024 15:40:13,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Adobe Illustrator",High priority,Low priority,Nice to have,Low priority,USA,PhD student
324,06.09.2024 20:58:57,"BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,High priority,High priority,Nice to have,USA,PostDoc
